POA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
POA3979,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,12
POA3980,0,0,3,0,0,6,10,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,0,4,0,0,0,8,3,0,7,0,0,0,11,11,0,7,0,9,0,32,27,0,12,0,3,0,42,17,0,13,0,0,3,36,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,71,0,58,0,16,7,153
POA3981,0,0,8,0,3,7,21,0,0,0,0,0,0,3,4,21,8,0,0,0,28,0,3,13,0,0,0,12,11,3,18,3,3,0,39,47,0,18,0,0,0,65,62,0,17,0,0,0,77,26,0,8,0,3,0,40,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,158,31,96,4,11,10,306
POA3984,0,0,25,0,0,9,39,0,0,0,0,0,0,0,0,7,10,0,5,0,23,13,0,31,0,0,0,43,27,0,28,0,3,0,60,105,0,36,0,11,0,148,77,0,12,0,3,0,94,27,0,9,0,0,0,39,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,8,0,21,270,5,151,0,26,17,472
POA3987,0,0,3,0,3,4,12,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,7,0,0,0,9,3,0,3,0,0,0,9,12,0,0,0,0,0,12,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,23,0,4,4,54
POA3988,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,8,3,0,3,0,5,0,10,3,0,0,0,0,0,5,3,0,3,0,0,0,6,3,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,11,0,26,0,10,0,49
POA3990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,3
POA3991,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,0,7,0,4,0,24
POA3992,0,0,3,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,10,9,0,5,0,0,0,13,10,0,5,0,0,0,19,10,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,33,3,30,0,0,13,77
POA3995,0,5,16,0,5,15,49,0,6,0,0,4,0,12,11,82,20,10,6,0,126,54,31,46,9,11,3,151,103,12,52,4,3,3,177,275,12,66,7,5,3,371,143,3,23,0,0,0,167,23,3,10,3,0,0,41,5,3,0,0,0,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,17,8,0,8,6,45,619,169,255,34,40,33,1148
POA3996,0,0,15,0,3,16,39,0,0,3,0,0,0,4,3,19,13,0,3,0,36,12,10,16,5,0,0,37,26,4,15,0,0,0,51,85,0,18,6,0,0,105,118,0,12,0,0,3,140,90,0,4,0,3,0,101,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,14,348,37,103,7,14,20,536
POA4000,14,11,47,3,6,21,99,0,8,0,0,0,0,12,6,55,24,7,0,0,97,18,32,44,23,6,0,121,17,5,25,0,6,0,57,53,4,38,3,7,0,99,186,8,74,3,12,5,280,497,3,105,5,8,6,625,719,3,164,7,20,0,919,584,4,114,3,10,0,720,316,3,84,0,8,0,406,123,0,27,0,6,0,162,54,0,21,0,0,0,72,62,0,36,0,4,5,106,52,5,43,5,10,9,120,2713,134,842,59,102,52,3905
POA4005,0,26,33,6,4,15,85,0,37,0,4,0,0,42,4,121,12,19,3,7,172,29,32,29,20,7,0,118,33,12,28,3,4,0,76,101,22,65,12,5,0,214,293,0,102,3,8,0,411,877,3,189,0,11,3,1083,826,4,176,0,5,0,1007,454,0,132,3,3,0,585,174,0,50,0,0,3,226,80,0,27,0,0,0,108,66,0,15,0,0,0,77,90,0,25,0,0,0,121,33,14,17,4,3,3,70,3058,267,898,79,55,34,4383
POA4006,7,18,17,0,8,9,62,0,21,0,0,0,0,23,11,90,5,12,0,0,119,48,105,28,67,4,3,255,34,12,10,7,3,0,70,154,54,49,34,10,0,308,504,32,57,17,6,0,621,1158,7,185,7,18,4,1376,926,0,145,7,7,11,1095,282,0,60,0,7,0,355,100,0,27,0,0,0,131,41,0,9,0,0,0,52,18,0,7,0,0,0,31,29,0,12,0,0,0,41,30,15,15,3,5,3,72,3338,352,635,156,79,36,4594
POA4007,4,3,21,0,8,14,46,0,16,0,0,0,0,14,3,55,6,4,0,0,70,12,21,13,3,0,0,48,5,4,21,0,3,0,41,49,5,37,0,5,0,96,334,3,85,0,0,3,429,715,0,113,0,5,0,842,340,0,53,3,6,0,404,191,0,27,0,0,0,218,76,0,19,0,0,0,99,34,0,3,0,0,0,42,26,0,5,0,0,0,31,65,0,13,0,0,0,84,21,3,23,0,7,3,56,1877,108,445,19,35,23,2509
POA4008,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,5,7,0,3,0,0,0,8,6,0,6,0,0,0,10,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,19,0,0,0,35
POA4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4010,0,3,3,0,0,0,10,0,8,0,4,0,0,7,0,19,0,0,0,0,25,4,3,13,5,0,0,24,6,3,4,0,0,0,16,18,3,8,0,0,0,31,54,0,12,0,0,0,68,166,4,19,0,0,0,194,88,0,15,0,0,0,110,34,0,7,0,0,0,48,18,0,3,0,0,0,16,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,19,409,45,91,17,7,7,567
POA4011,5,10,25,0,0,14,56,0,11,0,0,0,0,11,3,26,8,0,0,0,41,23,6,27,5,0,0,62,30,0,25,0,0,0,52,113,4,39,0,3,0,156,495,8,115,0,8,3,621,632,0,98,0,4,4,736,211,0,43,0,3,0,250,110,0,22,0,0,0,133,53,0,12,0,0,0,60,33,0,10,0,0,0,42,29,0,0,0,0,0,29,39,0,7,0,0,0,46,17,3,14,4,3,3,45,1781,63,451,19,24,22,2353
POA4012,0,14,30,0,6,10,63,3,44,0,5,0,0,54,6,141,14,3,0,3,167,25,59,25,19,0,3,133,46,25,30,14,0,0,111,139,13,54,4,7,0,212,643,19,133,13,3,3,813,1433,10,158,0,8,9,1616,510,0,67,0,0,5,581,98,0,17,0,3,0,118,32,0,4,0,0,0,38,21,0,3,0,0,0,23,6,0,0,0,0,0,8,5,0,0,0,0,0,8,20,24,19,17,5,0,91,2983,360,550,74,33,37,4043
POA4013,0,13,9,0,0,5,31,0,15,0,0,0,0,16,0,57,3,3,0,0,60,9,28,4,6,0,0,51,0,4,8,0,0,0,12,38,0,11,0,0,0,59,122,4,40,0,4,3,178,199,0,38,0,0,0,241,82,0,4,0,0,0,86,31,0,0,0,0,0,32,8,0,3,0,0,0,14,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,3,5,0,3,31,510,130,134,15,8,9,809
POA4014,0,4,14,0,0,11,31,0,7,0,0,0,0,6,0,20,3,0,0,0,32,6,19,9,15,4,0,48,5,5,11,0,3,0,27,15,6,17,5,3,0,45,69,7,41,12,0,0,129,306,4,87,0,3,3,405,195,0,37,0,0,0,234,89,0,8,0,0,0,99,13,0,3,0,0,0,18,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,10,4,11,7,3,0,27,709,76,244,34,19,20,1104
POA4017,4,11,31,3,3,30,90,0,28,0,7,0,0,28,11,134,21,3,7,3,176,59,67,44,38,21,7,225,62,31,39,0,15,3,142,133,21,57,12,68,5,295,311,24,127,4,13,3,481,1181,12,237,13,21,6,1472,336,0,54,0,4,0,400,62,0,18,0,0,0,76,18,0,3,0,0,0,28,10,0,4,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,7,23,30,21,11,3,10,100,2219,361,663,83,154,64,3540
POA4018,0,10,11,0,3,5,24,0,13,0,0,0,0,16,0,48,3,0,0,0,56,5,43,10,4,6,0,69,0,9,9,0,8,0,25,12,17,13,10,28,3,86,203,21,59,14,32,0,322,702,10,127,8,22,0,864,150,0,10,0,3,0,161,11,0,0,0,0,0,18,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,3,13,32,1101,175,236,44,100,23,1683
POA4019,3,26,28,4,0,12,75,3,65,3,0,0,0,70,12,249,18,15,5,3,300,62,92,38,3,10,0,210,77,30,65,0,5,7,188,336,26,100,0,19,4,483,670,15,203,0,17,9,912,639,3,140,3,10,4,789,144,0,24,0,0,0,171,48,0,8,0,0,0,64,13,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,3,32,34,16,3,0,0,88,2044,549,637,35,66,46,3373
POA4020,3,20,25,0,4,26,81,4,49,3,3,0,3,61,14,198,22,15,0,5,246,37,104,40,18,5,0,205,76,31,49,7,10,3,173,264,24,95,4,13,7,409,703,52,156,4,10,3,925,711,4,92,3,0,3,816,196,0,38,0,0,0,236,77,0,11,0,0,0,93,25,0,11,0,0,0,35,14,0,4,0,0,0,15,9,0,0,0,0,0,11,5,0,3,0,0,0,15,26,42,14,12,0,3,96,2159,524,565,68,45,58,3411
POA4021,3,5,3,0,0,10,23,0,10,3,0,0,0,11,0,52,7,0,0,4,65,13,39,14,0,0,0,66,9,14,8,0,0,0,34,57,21,47,0,7,3,135,295,21,97,4,11,0,428,328,3,70,0,9,3,415,40,0,12,0,0,0,45,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,12,0,0,0,42,766,181,272,10,27,21,1270
POA4022,0,8,0,3,0,6,18,0,12,0,0,0,0,12,0,62,0,9,4,0,79,3,38,3,3,0,0,50,0,21,4,0,0,0,26,8,16,12,0,0,0,40,153,14,18,0,3,0,182,433,8,37,0,0,0,482,18,0,10,0,0,0,28,9,0,0,0,0,0,10,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,6,0,0,0,28,635,176,91,18,12,8,940
POA4025,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,12
POA4029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA4030,3,16,27,3,0,9,56,3,9,0,0,0,0,15,7,84,19,3,7,0,116,48,61,45,10,4,3,168,40,11,39,5,0,0,102,195,18,63,8,18,0,295,541,22,140,8,16,3,734,853,15,135,0,9,3,1014,442,0,59,4,3,0,510,144,0,20,0,0,0,162,49,0,16,0,0,0,64,43,0,3,0,0,0,45,24,0,0,0,0,0,28,22,0,10,0,0,0,26,25,20,10,8,5,0,79,2431,253,584,49,60,24,3397
POA4031,0,15,17,0,0,11,45,0,23,0,0,0,0,23,6,71,12,8,0,0,96,12,37,16,7,0,0,71,14,10,29,5,3,0,58,83,9,45,3,12,0,147,423,3,123,3,14,0,572,625,4,123,0,4,6,759,251,0,45,0,0,0,302,66,0,15,0,0,0,83,37,0,5,0,0,0,42,18,0,0,0,0,0,21,0,0,3,0,0,0,3,3,0,3,0,0,0,5,20,10,14,5,3,7,56,1574,179,448,28,38,24,2281
POA4032,0,30,24,0,0,11,70,0,31,3,3,0,0,39,13,174,3,23,4,0,223,8,79,20,12,3,3,129,10,38,24,12,5,0,90,88,23,31,11,9,0,157,334,24,95,10,10,0,464,1118,14,156,3,13,3,1300,286,0,39,0,0,0,326,29,0,8,0,0,0,42,13,3,3,0,0,0,18,3,0,0,0,0,0,11,3,0,0,0,0,0,3,5,0,0,0,0,0,5,24,29,15,4,0,3,83,1933,463,414,67,47,25,2953
POA4034,10,27,31,3,9,27,107,4,59,4,8,3,3,78,9,232,15,12,20,4,292,20,104,31,3,62,3,227,14,42,35,0,34,0,126,62,41,64,4,68,0,243,495,48,205,25,63,3,845,1842,22,421,46,75,10,2405,538,3,70,0,15,0,624,137,0,21,0,3,3,160,30,0,5,0,0,0,43,9,0,0,0,0,0,10,4,0,0,0,0,0,4,3,0,0,0,0,0,3,54,53,35,35,18,9,198,3225,629,950,137,357,60,5362
POA4035,0,0,18,3,0,16,41,0,0,0,0,0,0,0,0,3,4,4,3,4,16,0,3,9,3,5,0,26,0,0,10,0,3,0,17,5,10,10,0,64,0,92,28,5,30,0,19,0,82,325,3,99,8,3,0,433,189,0,40,0,3,0,234,111,0,17,0,4,0,126,43,0,11,0,0,0,48,15,0,0,0,0,0,17,5,0,0,0,0,0,5,3,0,0,0,0,0,7,9,0,10,10,3,0,33,736,29,266,23,106,26,1179
POA4036,0,0,3,0,0,0,10,0,0,0,0,0,0,0,3,8,3,0,0,0,12,0,8,0,0,0,0,11,0,4,10,0,0,0,12,3,6,8,3,0,0,18,69,12,31,0,3,0,115,264,5,53,0,5,0,327,38,0,4,0,0,3,52,11,0,0,0,0,0,11,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,398,38,125,3,7,6,579
POA4037,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,52,0,52,0,0,9,0,9,0,15,49,0,20,0,3,0,78,70,0,12,0,0,0,85,28,0,3,0,0,0,34,9,0,0,0,0,0,11,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,10,167,7,58,0,64,0,297
POA4051,3,32,33,3,7,24,98,0,61,3,0,0,0,63,11,230,27,3,3,0,273,30,70,29,14,3,0,152,32,30,28,0,13,0,97,137,31,56,0,60,3,292,492,18,131,3,65,0,711,1060,10,180,0,27,7,1279,564,0,112,3,4,0,685,174,0,31,3,0,0,209,81,0,11,0,0,0,96,48,0,6,0,0,0,55,23,0,3,0,0,0,27,31,0,8,0,0,0,37,25,29,24,6,8,3,96,2713,519,693,45,197,37,4197
POA4053,3,51,51,3,7,24,138,0,54,0,5,0,0,64,4,242,26,3,11,3,292,31,190,42,38,7,4,309,26,64,56,11,30,3,191,100,87,77,9,202,3,479,367,57,173,3,88,0,694,1534,28,331,7,41,0,1947,717,4,106,0,15,0,837,167,0,26,0,0,0,201,53,0,4,0,0,0,58,23,0,0,0,0,0,27,8,0,0,0,0,0,8,8,0,0,0,0,0,6,38,39,36,6,16,0,135,3075,833,928,90,412,40,5375
POA4054,0,16,10,0,0,9,38,0,14,4,0,0,0,16,3,87,3,0,3,0,103,3,68,8,0,0,0,81,0,43,8,0,0,0,44,5,52,12,0,24,0,89,48,30,35,0,7,0,122,368,17,87,0,3,0,471,205,3,15,0,0,0,227,25,0,7,0,0,0,30,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,8,4,0,3,31,678,327,195,9,42,11,1260
POA4055,0,0,10,0,0,3,16,0,0,0,0,0,0,0,0,9,3,0,0,0,12,3,16,15,0,6,0,37,0,4,12,0,3,0,17,5,8,3,0,148,0,169,66,12,45,0,92,0,210,253,9,95,0,14,0,369,221,0,25,0,5,0,258,72,0,8,0,5,0,79,13,0,0,0,0,0,13,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,10,4,33,643,58,228,0,279,9,1218
POA4059,9,3,25,4,3,10,51,0,8,4,0,0,0,10,17,36,17,0,3,0,68,38,33,36,21,5,0,137,25,5,30,0,0,0,66,104,16,35,15,3,0,172,213,17,86,11,9,0,334,608,0,105,5,3,3,730,494,3,97,3,8,0,612,296,0,46,7,8,0,351,97,0,18,0,0,0,112,54,0,11,0,0,0,61,23,0,7,0,0,0,27,29,0,3,0,4,0,35,11,3,24,5,3,4,47,2016,130,524,72,56,20,2813
POA4060,0,0,12,3,0,6,31,0,3,0,0,0,0,3,8,10,3,0,0,0,22,10,5,7,4,0,0,26,21,0,9,0,0,0,24,38,0,25,3,7,0,76,105,0,44,0,0,0,148,263,0,64,0,0,0,333,276,0,51,0,0,0,327,79,0,18,0,3,0,99,38,0,0,0,0,0,44,24,0,4,0,0,0,31,16,0,4,0,0,0,23,25,0,3,0,0,0,28,9,0,9,3,0,3,25,909,26,257,16,15,10,1233
POA4061,0,0,15,4,0,7,32,0,0,0,0,0,0,3,0,11,5,0,0,0,13,0,11,8,0,0,0,18,0,0,5,0,3,0,9,0,6,9,0,9,0,24,12,3,17,0,4,0,34,170,0,72,0,4,0,244,224,0,57,0,0,0,282,97,0,19,0,0,0,116,42,0,0,0,0,0,46,12,0,4,0,0,0,12,8,0,0,0,0,0,8,0,0,7,0,0,0,7,9,3,5,0,0,0,27,558,38,227,7,25,8,871
POA4064,4,9,16,3,3,14,48,0,6,0,0,0,0,12,3,26,14,3,3,0,50,18,9,16,9,0,0,54,8,4,12,0,3,0,28,62,10,15,14,3,0,97,148,5,39,3,0,0,194,411,3,65,3,4,0,483,325,0,80,0,0,0,405,242,0,58,0,0,0,299,117,0,21,0,0,0,139,62,0,17,0,3,0,83,41,0,4,0,0,0,48,40,0,11,0,0,0,53,21,5,11,0,0,3,40,1495,79,377,32,20,20,2022
POA4065,0,0,16,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,9,0,0,0,14,4,0,8,3,0,0,16,43,0,18,0,0,0,58,48,0,31,0,0,0,80,99,6,32,0,4,0,142,144,0,33,0,4,0,180,68,0,20,0,0,0,85,48,0,7,0,0,0,53,45,0,7,0,0,0,46,13,0,3,0,0,0,12,22,0,3,0,0,0,25,4,6,5,0,0,0,17,542,14,197,5,11,4,768
POA4066,4,3,36,3,5,6,62,0,0,3,3,0,0,8,20,13,14,4,0,0,50,50,5,36,0,3,0,96,34,0,36,0,0,0,78,71,3,41,0,4,0,121,354,0,102,4,5,0,461,970,0,205,0,8,0,1179,561,0,118,3,4,0,690,265,0,85,0,6,3,357,97,0,28,0,3,0,130,43,0,8,0,0,0,53,20,0,4,0,0,0,27,25,0,8,0,0,0,37,22,0,24,0,3,0,53,2537,28,745,17,48,21,3392
POA4067,3,0,29,0,0,12,46,4,0,0,0,0,0,7,13,0,11,0,4,0,25,37,3,23,0,6,0,69,29,0,27,0,3,0,56,30,0,34,0,4,0,67,119,0,43,0,7,0,173,483,0,105,0,5,0,594,345,0,70,0,6,0,421,200,0,43,0,10,0,253,64,0,24,0,4,0,94,44,0,14,0,3,0,61,21,0,8,0,0,0,29,41,0,30,0,0,0,70,19,0,15,0,3,3,37,1455,7,481,3,50,18,2010
POA4068,0,4,55,0,8,18,89,0,23,0,3,0,0,26,11,48,32,0,3,0,94,51,16,41,0,0,0,109,26,3,35,0,0,0,62,53,3,55,0,4,0,122,379,3,114,3,6,3,504,1173,0,223,0,10,6,1417,766,0,154,0,9,0,926,296,0,72,0,4,0,379,135,0,21,0,0,0,154,76,0,17,0,4,0,91,37,0,8,0,0,0,45,47,0,9,0,0,0,60,33,6,27,0,9,6,75,3084,101,862,14,59,32,4164
POA4069,0,0,41,3,3,31,83,0,0,0,3,0,0,4,4,0,12,7,0,0,25,5,0,14,4,5,3,34,5,0,23,11,0,0,31,3,0,21,0,0,0,28,18,0,23,0,3,0,50,198,5,94,0,5,0,301,297,3,90,0,4,0,398,182,0,20,0,0,0,210,115,0,18,0,0,0,131,74,0,16,0,4,0,92,29,0,9,0,0,0,35,30,0,8,0,0,0,41,8,0,20,9,0,4,37,975,14,405,35,26,40,1496
POA4070,0,0,11,0,3,15,33,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,8,0,0,9,0,0,0,9,3,0,7,0,5,0,12,19,0,16,3,11,0,50,267,0,43,0,3,0,320,142,0,24,0,0,0,159,35,0,6,0,0,0,51,6,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,488,0,125,3,26,13,656
